,rep,model2,time,variable,type,value
144,Rep04,JM_cumulative,15,AUC,training,0.769258000486413
145,Rep05,JM_cumulative,15,AUC,training,0.867167110313942
146,Rep06,JM_cumulative,15,AUC,training,0.828200323775397
147,Rep07,JM_cumulative,15,AUC,training,0.841249091532265
148,Rep08,JM_cumulative,15,AUC,training,0.857418829517443
149,Rep09,JM_cumulative,15,AUC,training,0.735604353155791
150,Rep10,JM_cumulative,15,AUC,training,0.838145222561018
151,Rep11,JM_cumulative,15,AUC,training,0.879956955207722
152,Rep12,JM_cumulative,15,AUC,training,0.840371781177114
153,Rep13,JM_cumulative,15,AUC,training,0.742905074991288
154,Rep14,JM_cumulative,15,AUC,training,NA
155,Rep15,JM_cumulative,15,AUC,training,0.861934048918126
156,Rep16,JM_cumulative,15,AUC,training,NA
157,Rep17,JM_cumulative,15,AUC,training,0.87427502511856
158,Rep18,JM_cumulative,15,AUC,training,0.850403423482388
159,Rep19,JM_cumulative,15,AUC,training,0.882684820053478
160,Rep20,JM_cumulative,15,AUC,training,0.820465302727313
161,Rep01,cox(Landmark),15,AUC,training,0.685614372726731
162,Rep02,cox(Landmark),15,AUC,training,0.675465032224575
163,Rep03,cox(Landmark),15,AUC,training,0.681784604428837
164,Rep04,cox(Landmark),15,AUC,training,0.673831049977124
165,Rep05,cox(Landmark),15,AUC,training,0.68085618074415
166,Rep06,cox(Landmark),15,AUC,training,0.673858548627627
167,Rep07,cox(Landmark),15,AUC,training,0.680928929706029
168,Rep08,cox(Landmark),15,AUC,training,0.680251207864297
169,Rep09,cox(Landmark),15,AUC,training,0.68019954166296
170,Rep10,cox(Landmark),15,AUC,training,0.673480514744894
171,Rep11,cox(Landmark),15,AUC,training,0.684711975984206
172,Rep12,cox(Landmark),15,AUC,training,0.68407651794493
173,Rep13,cox(Landmark),15,AUC,training,0.681776141619416
174,Rep14,cox(Landmark),15,AUC,training,0.673780681199226
175,Rep15,cox(Landmark),15,AUC,training,0.674333022129668
176,Rep16,cox(Landmark),15,AUC,training,0.680354721232087
177,Rep17,cox(Landmark),15,AUC,training,0.682093253061137
178,Rep18,cox(Landmark),15,AUC,training,0.679488121505267
179,Rep19,cox(Landmark),15,AUC,training,0.681473369354903
180,Rep20,cox(Landmark),15,AUC,training,0.682569990407055
181,Rep01,cox(Postsurgical),15,AUC,training,0.671804811640936
182,Rep02,cox(Postsurgical),15,AUC,training,0.680148622414712
183,Rep03,cox(Postsurgical),15,AUC,training,0.670723952074687
184,Rep04,cox(Postsurgical),15,AUC,training,0.67713805855533
185,Rep05,cox(Postsurgical),15,AUC,training,0.671846516244283
186,Rep06,cox(Postsurgical),15,AUC,training,0.678228277270242
187,Rep07,cox(Postsurgical),15,AUC,training,0.677349443009372
188,Rep08,cox(Postsurgical),15,AUC,training,0.674176043493156
189,Rep09,cox(Postsurgical),15,AUC,training,0.683500440397765
190,Rep10,cox(Postsurgical),15,AUC,training,0.677636380348896
191,Rep11,cox(Postsurgical),15,AUC,training,0.680843004893032
192,Rep12,cox(Postsurgical),15,AUC,training,0.673591553442852
193,Rep13,cox(Postsurgical),15,AUC,training,0.675419565978599
194,Rep14,cox(Postsurgical),15,AUC,training,0.674696032933546
195,Rep15,cox(Postsurgical),15,AUC,training,0.67880698978095
196,Rep16,cox(Postsurgical),15,AUC,training,0.678728526275498
197,Rep17,cox(Postsurgical),15,AUC,training,0.671716391994293
198,Rep18,cox(Postsurgical),15,AUC,training,0.676194822062068
199,Rep19,cox(Postsurgical),15,AUC,training,0.677565143054208
200,Rep20,cox(Postsurgical),15,AUC,training,0.673449371735516
201,Rep01,JM_value,12,PE,training,0.130316577773132
202,Rep02,JM_value,12,PE,training,0.125368553791926
203,Rep03,JM_value,12,PE,training,0.123978663321176
204,Rep04,JM_value,12,PE,training,0.125829126144906
205,Rep05,JM_value,12,PE,training,0.133785788915369
206,Rep06,JM_value,12,PE,training,0.125277526186627
207,Rep07,JM_value,12,PE,training,0.133192269885955
208,Rep08,JM_value,12,PE,training,0.124242238017486
209,Rep09,JM_value,12,PE,training,0.130121499877748
210,Rep10,JM_value,12,PE,training,0.131672400160074
211,Rep11,JM_value,12,PE,training,0.123393978795781
212,Rep12,JM_value,12,PE,training,0.128877226881718
213,Rep13,JM_value,12,PE,training,0.126500873984272
